,Teams,Points
0,Man City,88.33333333333333
1,Liverpool,88.33333333333333
2,Man United,68.66666666666667
3,Chelsea,68.33333333333333
4,Tottenham,64.0
5,Arsenal,62.333333333333336
6,Leicester,60.0
7,Leeds,59.0
8,Everton,54.0
9,Wolves,53.666666666666664
10,West Ham,52.0
11,Crystal Palace,45.333333333333336
12,Aston Villa,45.0
13,Newcastle,44.666666666666664
14,Southampton,44.666666666666664
15,Burnley,44.333333333333336
16,Watford,42.0
17,Bournemouth,39.5
18,Brighton,39.333333333333336
19,Sheffield United,38.5
20,Cardiff,34.0
21,Fulham,27.0
22,West Brom,26.0
23,Norwich,21.0
24,Huddersfield,16.0
